time,V,R,C,M
0.0,68.0,52.0,15.0,11.0
0.005,68.03530119405501,52.048156976902284,15.030759024950262,11.013312382729676
0.01,68.07031464543755,52.09621974183641,15.061578757319728,11.026643883918643
0.015,68.10504016154674,52.14418804705099,15.092459182698933,11.039994511251257
0.02,68.13947755454555,52.19206164600491,15.123400285761772,11.053364272309974
0.025,68.17362664136081,52.23984029336731,15.154402050265496,11.066753174575366
0.03,68.20748724368316,52.28752374501759,15.185464459050715,11.080161225426101
0.035,68.24105918616576,52.33511175834535,15.216587493416446,11.09358843206737
0.04,68.27434228637551,52.38260409391363,15.247771129644928,11.107034801131313
0.045,68.30733638008692,52.43000051124825,15.279015347776658,11.120500339681602
0.05,68.34004131104588,52.47730077056666,15.31032012803245,11.13398505480645
0.055,68.37245692749883,52.52450463335784,15.341685449607008,11.147488953480675
0.06,68.40458308219289,52.57161186238241,15.373111290668943,11.1610120425657
0.065,68.4364196323757,52.61862222167252,15.404597628360756,11.174554328809549
0.07,68.46796643979556,52.66553547653192,15.43614443879885,11.188115818846853
0.075,68.49922337070134,52.71235139353593,15.467751697073524,11.201696519198846
0.08,68.53019029584254,52.75906974053147,15.499419377248971,11.215296436273364
0.085,68.56086709046923,52.805690286637,15.531147452363287,11.22891557636485
0.09,68.59125363433212,52.8522128022426,15.56293589442846,11.24255394565435
0.095,68.62134981168246,52.8986370590099,15.594784674430379,11.256211550209512
0.1,68.65115551127218,52.94496282987211,15.626693762328827,11.269888395984589
0.105,68.68067062635373,52.99118988903404,15.658663127057489,11.283584488820441
0.11,68.70989505468025,53.037318011972054,15.690692736523943,11.297299834444528
0.115,68.73882869850539,53.08334697543411,15.722782557609664,11.311034438470916
0.12,68.76747146458345,53.129276557439745,15.754932556170026,11.324788306400274
0.125,68.79582326416936,53.17510653728006,15.787142697034303,11.338561443619875
0.13,68.82388401301858,53.22083669551775,15.819412944005661,11.3523538554036
0.135,68.85165363138724,53.26646681398707,15.851743259861166,11.366165546911924
0.14,68.87913204403202,53.31199667579389,15.884133606351783,11.379996523191936
0.145,68.90631918021023,53.35742606531562,15.91658394420237,11.393846789177326
0.15,68.93321497367978,53.40275476820126,15.949094233111687,11.407716349688386
0.155,68.95981936269916,53.4479825713714,15.981664431752385,11.421605209432013
0.16,68.9861322900275,53.4931092630182,16.01429449777102,11.43551337300171
0.165,69.01215370292448,53.538134632605384,16.046984387788036,11.44944084487758
0.17,69.03788355315042,53.58305847086829,16.079734057397786,11.463387629426334
0.17500000000000002,69.06332179696625,53.627880569813804,16.112543461168514,11.477353730901283
0.18,69.08846839513346,53.672600722720404,16.145412552642355,11.491339153442347
0.185,69.11332331291418,53.71721872413814,16.17834128433535,11.505343901076046
0.19,69.1378865200711,53.76173436988865,16.211329607737436,11.519367977715504
0.195,69.16215799086758,53.80614745706513,16.244377473312447,11.53341138716045
0.2,69.1861377040675,53.850457784032386,16.277484830498114,11.54747413309722
0.20500000000000002,69.2098256429354,53.894665150426775,16.310651627706058,11.56155621909875
0.21,69.23322179523639,53.93876935715625,16.34387781232181,11.575657648624576
