module,metric,value
Q1_plankton,L_final,34.975380259912605
Q1_plankton,B_final,40.333438587742044
Q1_macrophyte,C_final,42.363486959846306
Q1_macrophyte,M_final,37.487478931030374
Q2_sturgeon,sturgeon_low_H_sturgeon_stocking_off_final,0.21496806546203345
Q2_sturgeon,sturgeon_low_H_H,0.22168
Q2_sturgeon,sturgeon_low_H_sturgeon_stocking_on_final,0.21496805643858252
Q2_sturgeon,sturgeon_low_H_H,0.22168
Q2_sturgeon,sturgeon_medium_H_sturgeon_stocking_off_final,0.021952790785268607
Q2_sturgeon,sturgeon_medium_H_H,0.47651199999999994
Q2_sturgeon,sturgeon_medium_H_sturgeon_stocking_on_final,0.19316887654368792
Q2_sturgeon,sturgeon_medium_H_H,0.47651199999999994
Q2_sturgeon,sturgeon_high_H_sturgeon_stocking_off_final,0.001910969098954055
Q2_sturgeon,sturgeon_high_H_H,0.7482800000000001
Q2_sturgeon,sturgeon_high_H_sturgeon_stocking_on_final,0.45930866333181825
Q2_sturgeon,sturgeon_high_H_H,0.7482800000000001
Q2_porpoise,D_final,12.836036242662976
Q3_glv,equilibrium_norm,51.774631663219296
Q3_glv,max_real_eigen,0.5394648493348498
Q4_limit_cycle,MLE,-0.19634597110768723
Q4_chaos,MLE,0.13597848631815376
Q4_limit_cycle,max_real_eigen,-0.1936257678649931
Q5_EI,ban_no_pollution,0.8150206433615511
Q5_EI,ban_no_pollution_H,0.47651199999999994
Q5_EI,ban_high_pollution,0.6765916599027828
Q5_EI,ban_high_pollution_H,0.47651199999999994
Q5_EI,ban_invasion,0.7325520849337712
Q5_EI,ban_invasion_H,0.47651199999999994
Sensitivity,Q2_p_list_scale_min,0.19316887654368792
Sensitivity,Q2_p_list_scale_max,0.19316887654368792
Sensitivity,Q2_rho_min,0.09116159554676867
Sensitivity,Q2_rho_max,0.5156236797710749
Sensitivity,Q2_stocking_scale_min,0.19316887654368792
Sensitivity,Q2_stocking_scale_max,0.19316887654368792
Sensitivity,Q2_stocking_width_min,0.0699340284704966
Sensitivity,Q2_stocking_width_max,0.386668385033335
Sensitivity,Q3_A_10_min,0.4442978359657221
Sensitivity,Q3_A_10_max,1.0886451612903225
Sensitivity,Q3_A_12_min,0.5394648493153844
Sensitivity,Q3_A_12_max,0.5619376000009643
Sensitivity,Q5_alpha_NI_min,0.7325520849337712
Sensitivity,Q5_alpha_NI_max,0.7325520849337712
Sensitivity,Q5_beta_IN_min,0.7177099897903167
Sensitivity,Q5_beta_IN_max,0.7398269183178687
Sensitivity,Q5_gamma_I_min,0.7314930824574997
Sensitivity,Q5_gamma_I_max,0.7342036219043822
Sensitivity,Q5_gamma_N_min,0.7310935539972738
Sensitivity,Q5_gamma_N_max,0.733790472888078
Sensitivity,Q5_theta_I_min,0.7292144825438449
Sensitivity,Q5_theta_I_max,0.735966016238089
Sensitivity,Q5_theta_N_min,0.729315564542802
Sensitivity,Q5_theta_N_max,0.7348324487996551
